,project,name,hits,size
2015-08-06 21:00:00,ca,Donald_Trump,1,15525
2015-08-06 21:00:00,commons.m,Bernie_Sanders,2,25550
2015-08-06 21:00:00,commons.m,Donald_Trump,3,20117
2015-08-06 21:00:00,commons.m,Jeb_Bush,1,17444
2015-08-06 21:00:00,commons.m,Lindsey_Graham,2,24110
2015-08-06 21:00:00,cs,Donald_Trump,4,50571
2015-08-06 21:00:00,cs,Jeb_Bush,1,14675
2015-08-06 21:00:00,cs,Ted_Cruz,1,10918
2015-08-06 21:00:00,da,Donald_Trump,23,349727
2015-08-06 21:00:00,da,George_Pataki,1,11779
2015-08-06 21:00:00,da,Jeb_Bush,6,65087
2015-08-06 21:00:00,da,Ted_Cruz,1,17183
2015-08-06 21:00:00,de,Ben_Carson,10,158521
2015-08-06 21:00:00,de,Bernie_Sanders,19,400086
2015-08-06 21:00:00,de,Carly_Fiorina,4,54573
2015-08-06 21:00:00,de,Chris_Christie,2,37016
2015-08-06 21:00:00,de,Donald_Trump,122,3649825
2015-08-06 21:00:00,de,George_Pataki,2,27184
2015-08-06 21:00:00,de,Hillary_Clinton,6,221070
2015-08-06 21:00:00,de,Jeb_Bush,23,468042
2015-08-06 21:00:00,de,John_Kasich,1,26872
2015-08-06 21:00:00,de,Lindsey_Graham,2,39678
2015-08-06 21:00:00,de,Mike_Huckabee,3,80979
2015-08-06 21:00:00,de,Rand_Paul,8,162024
2015-08-06 21:00:00,de,Rick_Santorum,2,61946
2015-08-06 21:00:00,de,Ted_Cruz,7,129752
2015-08-06 21:00:00,en,Ben_Carson,834,40685568
2015-08-06 21:00:00,en,Bernie_Sanders,930,76891365
2015-08-06 21:00:00,en,Carly_Fiorina,697,51854587
2015-08-06 21:00:00,en,Chris_Christie,205,20602076
2015-08-06 21:00:00,en,Donald_Trump,2498,205985683
2015-08-06 21:00:00,en,George_Pataki,223,11323674
2015-08-06 21:00:00,en,Hillary_Clinton,387,63412083
2015-08-06 21:00:00,en,Jeb_Bush,696,53508893
2015-08-06 21:00:00,en,Jim_Gilmore,258,10276513
2015-08-06 21:00:00,en,John_Kasich,528,31425243
2015-08-06 21:00:00,en,Lindsey_Graham,205,12075044
2015-08-06 21:00:00,en,Mike_Huckabee,134,10330981
2015-08-06 21:00:00,en,Rand_Paul,356,28807922
2015-08-06 21:00:00,en,Rick_Santorum,210,21151273
2015-08-06 21:00:00,en,Ted_Cruz,556,48409054
2015-08-06 21:00:00,en.n,Carly_Fiorina,1,9084
2015-08-06 21:00:00,en.q,Ben_Carson,3,47586
2015-08-06 21:00:00,en.q,Donald_Trump,20,83736
2015-08-06 21:00:00,en.q,Hillary_Clinton,3,95678
2015-08-06 21:00:00,en.q,Mike_Huckabee,1,24990
2015-08-06 21:00:00,en.q,Rand_Paul,2,42482
2015-08-06 21:00:00,es,Ben_Carson,15,247281
2015-08-06 21:00:00,es,Bernie_Sanders,11,122702
2015-08-06 21:00:00,es,Chris_Christie,2,49348
2015-08-06 21:00:00,es,Donald_Trump,146,6088169
2015-08-06 21:00:00,es,Hillary_Clinton,13,1810805
2015-08-06 21:00:00,es,Jeb_Bush,11,155507
2015-08-06 21:00:00,es,Lindsey_Graham,1,40583
2015-08-06 21:00:00,es,Mike_Huckabee,1,14465
2015-08-06 21:00:00,es,Rand_Paul,1,54862
2015-08-06 21:00:00,es,Ted_Cruz,6,75738
2015-08-06 21:00:00,es.q,Donald_Trump,1,8938
2015-08-06 21:00:00,et,Bernie_Sanders,1,25774
2015-08-06 21:00:00,et,Hillary_Clinton,1,17524
2015-08-06 21:00:00,et,Mike_Huckabee,1,29217
2015-08-06 21:00:00,fi,Bernie_Sanders,1,11245
2015-08-06 21:00:00,fi,Donald_Trump,27,602550
2015-08-06 21:00:00,fi,Hillary_Clinton,3,65088
2015-08-06 21:00:00,fi,Jeb_Bush,1,11837
2015-08-06 21:00:00,fi,Rick_Santorum,1,28661
2015-08-06 21:00:00,fr,Ben_Carson,11,155100
2015-08-06 21:00:00,fr,Bernie_Sanders,16,434381
2015-08-06 21:00:00,fr,Carly_Fiorina,5,91715
2015-08-06 21:00:00,fr,Chris_Christie,7,150678
2015-08-06 21:00:00,fr,Donald_Trump,247,4277862
2015-08-06 21:00:00,fr,Hillary_Clinton,4,171100
2015-08-06 21:00:00,fr,Jeb_Bush,29,622717
2015-08-06 21:00:00,fr,John_Kasich,3,41264
2015-08-06 21:00:00,fr,Lindsey_Graham,2,29945
2015-08-06 21:00:00,fr,Mike_Huckabee,3,71061
2015-08-06 21:00:00,fr,Rand_Paul,5,108307
2015-08-06 21:00:00,fr,Rick_Santorum,2,35920
2015-08-06 21:00:00,fr,Ted_Cruz,9,320985
2015-08-06 21:00:00,hr,Donald_Trump,1,9594
2015-08-06 21:00:00,hu,Donald_Trump,10,135950
2015-08-06 21:00:00,hu,Hillary_Clinton,1,22187
2015-08-06 21:00:00,id,Donald_Trump,1,21802
2015-08-06 21:00:00,it,Bernie_Sanders,4,51124
2015-08-06 21:00:00,it,Carly_Fiorina,1,13589
2015-08-06 21:00:00,it,Donald_Trump,26,614472
2015-08-06 21:00:00,it,Hillary_Clinton,8,238856
2015-08-06 21:00:00,it,Jeb_Bush,10,129690
2015-08-06 21:00:00,it,John_Kasich,1,10564
2015-08-06 21:00:00,it,Lindsey_Graham,1,10353
2015-08-06 21:00:00,it,Mike_Huckabee,1,12407
2015-08-06 21:00:00,it,Rand_Paul,1,14218
2015-08-06 21:00:00,it,Ted_Cruz,6,73482
2015-08-06 21:00:00,nl,Ben_Carson,1,9488
2015-08-06 21:00:00,nl,Bernie_Sanders,2,34876
2015-08-06 21:00:00,nl,Chris_Christie,1,13286
2015-08-06 21:00:00,nl,Donald_Trump,17,274389
2015-08-06 21:00:00,nl,Hillary_Clinton,1,106360
2015-08-06 21:00:00,nl,Jeb_Bush,4,51904
2015-08-06 21:00:00,nl,Lindsey_Graham,2,29602
2015-08-06 21:00:00,no,Bernie_Sanders,3,45398
2015-08-06 21:00:00,no,Donald_Trump,5,77845
2015-08-06 21:00:00,no,Rand_Paul,1,18777
2015-08-06 21:00:00,pl,Bernie_Sanders,1,19302
2015-08-06 21:00:00,pl,Chris_Christie,1,12238
2015-08-06 21:00:00,pl,Donald_Trump,29,376731
2015-08-06 21:00:00,pl,George_Pataki,1,11988
2015-08-06 21:00:00,pl,Hillary_Clinton,5,133180
2015-08-06 21:00:00,pl,Jeb_Bush,15,216197
2015-08-06 21:00:00,pl,Rand_Paul,2,47493
2015-08-06 21:00:00,pl,Rick_Santorum,2,24230
2015-08-06 21:00:00,pl,Ted_Cruz,2,13979
2015-08-06 21:00:00,pt,Ben_Carson,12,172020
2015-08-06 21:00:00,pt,Bernie_Sanders,2,35898
2015-08-06 21:00:00,pt,Carly_Fiorina,3,32528
2015-08-06 21:00:00,pt,Donald_Trump,21,369807
2015-08-06 21:00:00,pt,Hillary_Clinton,8,551916
2015-08-06 21:00:00,pt,Jeb_Bush,2,28118
2015-08-06 21:00:00,pt,Ted_Cruz,2,13229
2015-08-06 21:00:00,ro,Ben_Carson,1,16498
2015-08-06 21:00:00,ro,Donald_Trump,1,12143
2015-08-06 21:00:00,sco,Bernie_Sanders,1,17987
2015-08-06 21:00:00,sh,Donald_Trump,1,16265
2015-08-06 21:00:00,simple,Bernie_Sanders,1,25407
2015-08-06 21:00:00,simple,Donald_Trump,1,16216
2015-08-06 21:00:00,simple,Lindsey_Graham,1,12119
2015-08-06 21:00:00,sk,Donald_Trump,2,32876
2015-08-06 21:00:00,sk,Jeb_Bush,1,10203
2015-08-06 21:00:00,sq,Donald_Trump,1,11623
2015-08-06 21:00:00,sv,Bernie_Sanders,2,36320
2015-08-06 21:00:00,sv,Carly_Fiorina,1,10959
2015-08-06 21:00:00,sv,Donald_Trump,34,479694
2015-08-06 21:00:00,sv,George_Pataki,2,26302
2015-08-06 21:00:00,sv,Hillary_Clinton,3,101496
2015-08-06 21:00:00,sv,Jeb_Bush,8,118472
2015-08-06 21:00:00,sv,John_Kasich,2,29822
2015-08-06 21:00:00,sv,Mike_Huckabee,1,15796
2015-08-06 21:00:00,sv,Rand_Paul,1,19066
2015-08-06 21:00:00,sv,Ted_Cruz,1,15038
2015-08-06 21:00:00,tr,Carly_Fiorina,1,9838
2015-08-06 21:00:00,tr,Donald_Trump,4,61836
2015-08-06 21:00:00,tr,Hillary_Clinton,2,135047
2015-08-06 21:00:00,tr,Jeb_Bush,1,11656
2015-08-06 22:00:00,bcl,Donald_Trump,1,11637
2015-08-06 22:00:00,bs,Hillary_Clinton,1,19139
2015-08-06 22:00:00,ca,Donald_Trump,1,15525
2015-08-06 22:00:00,commons.m,Carly_Fiorina,1,7498
2015-08-06 22:00:00,commons.m,Donald_Trump,2,40234
2015-08-06 22:00:00,commons.m,Jeb_Bush,2,34887
2015-08-06 22:00:00,commons.m,Mike_Huckabee,1,8850
2015-08-06 22:00:00,cs,Ben_Carson,1,9948
2015-08-06 22:00:00,cs,Bernie_Sanders,2,26180
2015-08-06 22:00:00,cs,Donald_Trump,6,101142
2015-08-06 22:00:00,cs,George_Pataki,1,10238
2015-08-06 22:00:00,cs,Jeb_Bush,1,14675
2015-08-06 22:00:00,cs,Mike_Huckabee,1,11334
2015-08-06 22:00:00,cs,Rand_Paul,2,19887
2015-08-06 22:00:00,cs,Rick_Santorum,2,22920
2015-08-06 22:00:00,cs,Ted_Cruz,2,21854
2015-08-06 22:00:00,da,Donald_Trump,14,213052
2015-08-06 22:00:00,da,Jeb_Bush,3,32546
2015-08-06 22:00:00,da,Rand_Paul,1,16959
2015-08-06 22:00:00,da,Ted_Cruz,2,34366
2015-08-06 22:00:00,de,Ben_Carson,10,158503
2015-08-06 22:00:00,de,Bernie_Sanders,13,288948
2015-08-06 22:00:00,de,Carly_Fiorina,6,81876
2015-08-06 22:00:00,de,Chris_Christie,1,18508
2015-08-06 22:00:00,de,Donald_Trump,99,2782166
2015-08-06 22:00:00,de,Hillary_Clinton,8,353712
2015-08-06 22:00:00,de,Jeb_Bush,10,191169
2015-08-06 22:00:00,de,Jim_Gilmore,4,53224
2015-08-06 22:00:00,de,John_Kasich,7,188092
2015-08-06 22:00:00,de,Lindsey_Graham,5,99233
2015-08-06 22:00:00,de,Mike_Huckabee,1,26995
2015-08-06 22:00:00,de,Rand_Paul,5,101265
2015-08-06 22:00:00,de,Rick_Santorum,8,353039
2015-08-06 22:00:00,de,Ted_Cruz,5,92680
2015-08-06 22:00:00,en,Ben_Carson,663,34375421
2015-08-06 22:00:00,en,Bernie_Sanders,890,71180498
2015-08-06 22:00:00,en,Carly_Fiorina,2935,219051608
2015-08-06 22:00:00,en,Chris_Christie,191,18463375
2015-08-06 22:00:00,en,Donald_Trump,2566,212236865
2015-08-06 22:00:00,en,George_Pataki,1152,58949407
2015-08-06 22:00:00,en,Hillary_Clinton,398,68093441
2015-08-06 22:00:00,en,Jeb_Bush,601,44421683
2015-08-06 22:00:00,en,Jim_Gilmore,1502,68568573
2015-08-06 22:00:00,en,John_Kasich,493,28446895
2015-08-06 22:00:00,en,Lindsey_Graham,751,45374104
2015-08-06 22:00:00,en,Mike_Huckabee,167,12326569
2015-08-06 22:00:00,en,Rand_Paul,356,27856895
2015-08-06 22:00:00,en,Rick_Santorum,892,101092730
2015-08-06 22:00:00,en,Ted_Cruz,447,38293630
