,Ben_Carson,Bernie_Sanders,Carly_Fiorina,Chris_Christie,Donald_Trump,George_Pataki,Hillary_Clinton,Jeb_Bush,Jim_Gilmore,John_Kasich,Lindsey_Graham,Martin_O'Malley,Mike_Huckabee,Rand_Paul,Rick_Santorum,Ted_Cruz
2015-08-05 00:00:00,868.0,579.0,493.0,184.0,1400.0,118.0,295.0,381.0,209.0,749.0,162.0,0.0,104.0,256.0,154.0,348.0
2015-08-05 01:00:00,709.0,573.0,438.0,200.0,1505.0,102.0,286.0,371.0,195.0,583.0,140.0,0.0,105.0,178.0,107.0,282.0
2015-08-05 02:00:00,676.0,578.0,371.0,232.0,1303.0,96.0,287.0,319.0,190.0,544.0,115.0,0.0,118.0,194.0,118.0,370.0
2015-08-05 03:00:00,508.0,558.0,340.0,184.0,1450.0,102.0,303.0,327.0,104.0,446.0,133.0,0.0,88.0,137.0,121.0,316.0
2015-08-05 04:00:00,426.0,520.0,253.0,217.0,1249.0,78.0,300.0,317.0,98.0,344.0,132.0,0.0,62.0,156.0,88.0,256.0
2015-08-05 05:00:00,341.0,458.0,179.0,130.0,969.0,73.0,226.0,266.0,68.0,235.0,76.0,0.0,67.0,112.0,57.0,222.0
2015-08-05 06:00:00,274.0,349.0,165.0,104.0,904.0,40.0,193.0,228.0,105.0,196.0,74.0,0.0,48.0,92.0,47.0,165.0
2015-08-05 07:00:00,185.0,299.0,143.0,91.0,749.0,52.0,159.0,184.0,55.0,127.0,45.0,0.0,48.0,83.0,42.0,138.0
2015-08-05 08:00:00,144.0,263.0,113.0,88.0,728.0,26.0,139.0,125.0,31.0,127.0,26.0,0.0,45.0,77.0,30.0,132.0
2015-08-05 09:00:00,158.0,234.0,116.0,90.0,643.0,31.0,138.0,141.0,33.0,114.0,38.0,0.0,42.0,59.0,54.0,92.0
2015-08-05 10:00:00,130.0,242.0,113.0,76.0,624.0,23.0,141.0,153.0,33.0,77.0,61.0,0.0,37.0,67.0,57.0,88.0
2015-08-05 11:00:00,155.0,233.0,189.0,102.0,681.0,33.0,135.0,132.0,39.0,116.0,71.0,0.0,37.0,87.0,52.0,99.0
2015-08-05 12:00:00,215.0,283.0,201.0,120.0,953.0,41.0,189.0,220.0,60.0,180.0,75.0,0.0,53.0,67.0,53.0,163.0
2015-08-05 13:00:00,447.0,465.0,280.0,174.0,1145.0,59.0,215.0,373.0,76.0,317.0,95.0,0.0,70.0,145.0,79.0,210.0
2015-08-05 14:00:00,519.0,587.0,307.0,169.0,1464.0,73.0,287.0,509.0,108.0,464.0,88.0,0.0,111.0,158.0,101.0,285.0
2015-08-05 15:00:00,518.0,641.0,354.0,149.0,1615.0,78.0,311.0,467.0,108.0,508.0,118.0,0.0,116.0,185.0,94.0,275.0
2015-08-05 16:00:00,489.0,639.0,353.0,158.0,1567.0,74.0,366.0,512.0,123.0,392.0,120.0,0.0,103.0,166.0,110.0,304.0
2015-08-05 17:00:00,479.0,664.0,285.0,144.0,1536.0,68.0,329.0,408.0,97.0,355.0,116.0,0.0,98.0,163.0,120.0,282.0
2015-08-05 18:00:00,463.0,691.0,306.0,144.0,1594.0,77.0,334.0,477.0,136.0,398.0,107.0,0.0,105.0,188.0,81.0,304.0
2015-08-05 19:00:00,368.0,738.0,301.0,124.0,1533.0,88.0,330.0,377.0,103.0,325.0,115.0,0.0,100.0,244.0,93.0,349.0
2015-08-05 20:00:00,372.0,679.0,326.0,154.0,1588.0,88.0,339.0,387.0,113.0,314.0,117.0,0.0,93.0,198.0,87.0,310.0
2015-08-05 21:00:00,375.0,715.0,257.0,159.0,1515.0,76.0,335.0,393.0,97.0,351.0,103.0,0.0,104.0,212.0,69.0,276.0
2015-08-05 22:00:00,366.0,646.0,218.0,131.0,1334.0,70.0,342.0,395.0,90.0,294.0,83.0,0.0,89.0,180.0,97.0,266.0
2015-08-05 23:00:00,314.0,636.0,187.0,118.0,1268.0,62.0,326.0,348.0,87.0,272.0,73.0,0.0,89.0,155.0,69.0,202.0
2015-08-06 00:00:00,263.0,574.0,476.0,116.0,1194.0,118.0,266.0,333.0,90.0,269.0,76.0,0.0,56.0,146.0,71.0,177.0
2015-08-06 01:00:00,642.0,562.0,194.0,110.0,1172.0,59.0,291.0,347.0,86.0,235.0,75.0,0.0,66.0,127.0,63.0,171.0
2015-08-06 02:00:00,283.0,528.0,193.0,96.0,1137.0,46.0,259.0,261.0,55.0,209.0,60.0,0.0,66.0,148.0,53.0,194.0
2015-08-06 03:00:00,308.0,571.0,187.0,103.0,1271.0,118.0,247.0,288.0,67.0,276.0,102.0,0.0,60.0,182.0,58.0,183.0
2015-08-06 04:00:00,429.0,533.0,175.0,93.0,1153.0,37.0,264.0,280.0,46.0,182.0,81.0,0.0,78.0,129.0,81.0,187.0
2015-08-06 05:00:00,238.0,467.0,114.0,73.0,854.0,32.0,186.0,197.0,48.0,105.0,52.0,0.0,48.0,123.0,70.0,173.0
2015-08-06 06:00:00,187.0,386.0,109.0,73.0,758.0,31.0,151.0,196.0,32.0,117.0,40.0,0.0,42.0,95.0,47.0,94.0
2015-08-06 07:00:00,128.0,253.0,164.0,35.0,681.0,34.0,164.0,130.0,33.0,66.0,40.0,0.0,28.0,64.0,31.0,87.0
2015-08-06 08:00:00,104.0,265.0,83.0,51.0,617.0,25.0,164.0,152.0,37.0,68.0,30.0,0.0,22.0,70.0,37.0,85.0
2015-08-06 09:00:00,90.0,237.0,74.0,53.0,562.0,17.0,194.0,162.0,35.0,63.0,32.0,0.0,33.0,62.0,32.0,93.0
2015-08-06 10:00:00,78.0,238.0,93.0,39.0,566.0,19.0,206.0,145.0,20.0,43.0,18.0,0.0,42.0,65.0,32.0,94.0
2015-08-06 11:00:00,103.0,177.0,80.0,29.0,647.0,32.0,217.0,168.0,27.0,85.0,41.0,0.0,23.0,55.0,38.0,81.0
2015-08-06 12:00:00,196.0,270.0,88.0,60.0,806.0,26.0,187.0,198.0,34.0,147.0,55.0,0.0,43.0,57.0,54.0,135.0
2015-08-06 13:00:00,408.0,401.0,197.0,72.0,1305.0,57.0,217.0,314.0,71.0,269.0,68.0,0.0,61.0,173.0,84.0,206.0
2015-08-06 14:00:00,524.0,561.0,331.0,162.0,1660.0,79.0,295.0,510.0,100.0,337.0,109.0,0.0,100.0,227.0,102.0,281.0
2015-08-06 15:00:00,621.0,683.0,307.0,169.0,1813.0,101.0,314.0,709.0,89.0,404.0,108.0,0.0,140.0,241.0,162.0,389.0
2015-08-06 16:00:00,612.0,657.0,293.0,178.0,1852.0,90.0,286.0,835.0,92.0,459.0,133.0,0.0,168.0,299.0,135.0,418.0
2015-08-06 17:00:00,578.0,780.0,327.0,160.0,2056.0,136.0,328.0,853.0,129.0,492.0,115.0,0.0,174.0,263.0,145.0,397.0
2015-08-06 18:00:00,620.0,825.0,363.0,178.0,2126.0,123.0,327.0,718.0,126.0,462.0,128.0,0.0,157.0,272.0,124.0,444.0
2015-08-06 19:00:00,740.0,837.0,424.0,201.0,2134.0,113.0,391.0,669.0,136.0,455.0,156.0,0.0,176.0,307.0,165.0,452.0
2015-08-06 20:00:00,802.0,805.0,565.0,185.0,2336.0,123.0,443.0,695.0,159.0,547.0,141.0,0.0,156.0,297.0,188.0,414.0
2015-08-06 21:00:00,834.0,930.0,697.0,205.0,2498.0,223.0,387.0,696.0,258.0,528.0,205.0,0.0,134.0,356.0,210.0,556.0
2015-08-06 22:00:00,663.0,890.0,2935.0,191.0,2566.0,1152.0,398.0,601.0,1502.0,493.0,751.0,0.0,167.0,356.0,892.0,447.0
2015-08-06 23:00:00,698.0,890.0,5341.0,197.0,2295.0,1038.0,338.0,601.0,934.0,468.0,3636.0,0.0,206.0,337.0,939.0,533.0
2015-08-07 00:00:00,801.0,796.0,9015.0,182.0,2292.0,406.0,370.0,643.0,427.0,456.0,1245.0,0.0,165.0,334.0,408.0,453.0
2015-08-07 01:00:00,1318.0,801.0,6312.0,411.0,2922.0,326.0,385.0,1015.0,311.0,891.0,782.0,0.0,259.0,633.0,337.0,746.0
2015-08-07 02:00:00,8670.0,986.0,3553.0,2428.0,4694.0,217.0,750.0,4405.0,194.0,4629.0,392.0,0.0,920.0,2928.0,228.0,5654.0
2015-08-07 03:00:00,8783.0,1332.0,4334.0,2282.0,6041.0,261.0,817.0,3492.0,227.0,9485.0,387.0,0.0,1858.0,3141.0,225.0,3377.0
2015-08-07 04:00:00,8874.0,1491.0,3373.0,1149.0,4612.0,297.0,776.0,2815.0,264.0,4459.0,442.0,0.0,1204.0,2255.0,247.0,3333.0
2015-08-07 05:00:00,3443.0,1120.0,2856.0,697.0,3908.0,195.0,584.0,1262.0,207.0,2292.0,366.0,0.0,563.0,1186.0,190.0,1790.0
2015-08-07 06:00:00,2200.0,845.0,1826.0,552.0,3179.0,148.0,437.0,926.0,170.0,1373.0,244.0,0.0,303.0,831.0,162.0,977.0
2015-08-07 07:00:00,1460.0,608.0,1269.0,408.0,2807.0,109.0,347.0,809.0,110.0,1042.0,190.0,0.0,223.0,622.0,121.0,576.0
2015-08-07 08:00:00,1163.0,532.0,994.0,307.0,2719.0,73.0,337.0,851.0,73.0,911.0,181.0,0.0,207.0,562.0,103.0,520.0
2015-08-07 09:00:00,890.0,489.0,817.0,260.0,2817.0,59.0,338.0,767.0,79.0,744.0,145.0,0.0,168.0,517.0,109.0,426.0
2015-08-07 10:00:00,814.0,476.0,831.0,260.0,2384.0,82.0,325.0,617.0,74.0,647.0,118.0,0.0,168.0,388.0,82.0,394.0
2015-08-07 11:00:00,871.0,439.0,1092.0,248.0,2421.0,70.0,289.0,660.0,63.0,838.0,105.0,0.0,152.0,360.0,85.0,443.0
2015-08-07 12:00:00,1468.0,537.0,2760.0,307.0,2770.0,90.0,340.0,695.0,70.0,1132.0,303.0,0.0,229.0,519.0,104.0,658.0
2015-08-07 13:00:00,2868.0,806.0,4195.0,581.0,3787.0,110.0,471.0,1104.0,139.0,2082.0,259.0,0.0,377.0,889.0,162.0,1172.0
2015-08-07 14:00:00,4161.0,1085.0,5195.0,760.0,4766.0,171.0,660.0,1473.0,197.0,3146.0,305.0,0.0,506.0,1243.0,191.0,1609.0
2015-08-07 15:00:00,4126.0,1297.0,5665.0,809.0,5424.0,180.0,714.0,1544.0,205.0,3140.0,352.0,0.0,581.0,1313.0,226.0,1672.0
2015-08-07 16:00:00,4022.0,1369.0,5341.0,741.0,5066.0,167.0,713.0,1430.0,190.0,2975.0,372.0,0.0,554.0,1233.0,251.0,1561.0
2015-08-07 17:00:00,3763.0,1276.0,5395.0,928.0,5103.0,173.0,654.0,1481.0,162.0,2853.0,341.0,0.0,537.0,1242.0,241.0,1532.0
2015-08-07 18:00:00,3371.0,1362.0,4981.0,813.0,5284.0,224.0,750.0,1436.0,177.0,2385.0,346.0,0.0,466.0,1261.0,230.0,1446.0
2015-08-07 19:00:00,3336.0,1353.0,5116.0,846.0,4909.0,178.0,776.0,1375.0,198.0,2347.0,381.0,0.0,463.0,1106.0,243.0,1288.0
2015-08-07 20:00:00,2881.0,1322.0,4776.0,698.0,4454.0,146.0,641.0,1220.0,199.0,2071.0,295.0,0.0,428.0,997.0,222.0,1359.0
2015-08-07 21:00:00,2535.0,1356.0,3830.0,586.0,4265.0,181.0,627.0,1363.0,180.0,1643.0,279.0,0.0,365.0,906.0,232.0,1198.0
2015-08-07 22:00:00,1994.0,1240.0,3487.0,543.0,3987.0,114.0,659.0,972.0,125.0,1542.0,271.0,0.0,288.0,850.0,162.0,981.0
2015-08-07 23:00:00,1661.0,1247.0,2991.0,505.0,3396.0,104.0,565.0,809.0,132.0,1214.0,211.0,0.0,284.0,685.0,169.0,874.0
2015-08-08 00:00:00,1420.0,940.0,3628.0,440.0,3048.0,89.0,473.0,784.0,86.0,1143.0,169.0,0.0,277.0,615.0,169.0,739.0
2015-08-08 01:00:00,1400.0,825.0,3161.0,381.0,2903.0,109.0,370.0,674.0,95.0,1356.0,161.0,0.0,277.0,997.0,111.0,764.0
2015-08-08 02:00:00,1858.0,900.0,2925.0,449.0,3093.0,89.0,426.0,652.0,94.0,985.0,156.0,0.0,247.0,622.0,109.0,776.0
2015-08-08 03:00:00,1468.0,921.0,3088.0,396.0,2615.0,85.0,504.0,617.0,93.0,868.0,169.0,0.0,200.0,572.0,115.0,685.0
2015-08-08 04:00:00,1287.0,869.0,2059.0,280.0,2604.0,107.0,460.0,583.0,66.0,854.0,154.0,0.0,219.0,689.0,128.0,610.0
2015-08-08 05:00:00,1022.0,712.0,1567.0,269.0,2151.0,52.0,385.0,484.0,64.0,531.0,126.0,0.0,155.0,436.0,84.0,501.0
2015-08-08 06:00:00,695.0,638.0,1299.0,227.0,1843.0,70.0,399.0,445.0,59.0,440.0,140.0,0.0,122.0,371.0,78.0,428.0
2015-08-08 07:00:00,551.0,500.0,850.0,176.0,1634.0,58.0,354.0,358.0,39.0,430.0,84.0,0.0,106.0,262.0,94.0,257.0
2015-08-08 08:00:00,429.0,417.0,502.0,122.0,1386.0,35.0,390.0,313.0,26.0,271.0,73.0,0.0,78.0,200.0,60.0,211.0
2015-08-08 09:00:00,324.0,333.0,483.0,116.0,1356.0,49.0,334.0,321.0,42.0,216.0,77.0,0.0,87.0,225.0,80.0,171.0
2015-08-08 10:00:00,267.0,298.0,469.0,87.0,1249.0,35.0,322.0,248.0,27.0,184.0,51.0,0.0,58.0,149.0,67.0,142.0
2015-08-08 11:00:00,274.0,285.0,624.0,98.0,1259.0,36.0,286.0,254.0,26.0,245.0,47.0,0.0,69.0,175.0,40.0,191.0
2015-08-08 12:00:00,302.0,306.0,843.0,117.0,1346.0,30.0,165.0,277.0,30.0,302.0,54.0,0.0,73.0,195.0,46.0,173.0
